Organisation,SectorCluster,County
Norwegian Church Aid,Shelter and Non-Food Items,Gogrial West
Norwegian Church Aid,WASH,Juba
Norwegian Church Aid,WASH,Lafon
Norwegian Church Aid,WASH,Torit
Norwegian Church Aid,WASH,Pibor
Norwegian Church Aid,WASH,Gogrial West
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Juba
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Lafon
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Magwi
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Torit
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Pibor
Norwegian Church Aid,Conflict Prevention and Peacebuilding,Gogrial West
Centre for Internaional Program-ICAP,Health,Juba
Centre for Internaional Program-ICAP,Health,Kajo-keji
Centre for Internaional Program-ICAP,Health,Lainya
Centre for Internaional Program-ICAP,Health,Morobo
Centre for Internaional Program-ICAP,Health,Terekeka
Centre for Internaional Program-ICAP,Health,Yei
Centre for Internaional Program-ICAP,Health,Budi
Centre for Internaional Program-ICAP,Health,Ikotos
Centre for Internaional Program-ICAP,Health,Kapoeta East
Centre for Internaional Program-ICAP,Health,Kapoeta North
Centre for Internaional Program-ICAP,Health,Kapoeta South
Centre for Internaional Program-ICAP,Health,Lafon
Centre for Internaional Program-ICAP,Health,Magwi
Centre for Internaional Program-ICAP,Health,Torit
Centre for Internaional Program-ICAP,Health,Ezo
Centre for Internaional Program-ICAP,Health,Ibba
Centre for Internaional Program-ICAP,Health,Maridi
Centre for Internaional Program-ICAP,Health,Mundri East
Centre for Internaional Program-ICAP,Health,Mundri West
Centre for Internaional Program-ICAP,Health,Mvolo
Centre for Internaional Program-ICAP,Health,Nagero
Centre for Internaional Program-ICAP,Health,Nzara
Centre for Internaional Program-ICAP,Health,Tambura
Centre for Internaional Program-ICAP,Health,Yambio
Nonviolent Peaceforce,Protection,Juba
Nonviolent Peaceforce,Protection,Akobo
Nonviolent Peaceforce,Protection,Nyirol
Nonviolent Peaceforce,Protection,Rumbek Centre
Nonviolent Peaceforce,Protection,Rumbek East
Nonviolent Peaceforce,Protection,Aweil North
Nonviolent Peaceforce,Protection,Koch
Nonviolent Peaceforce,Protection,Leer
Nonviolent Peaceforce,Protection,Mayendit
Nonviolent Peaceforce,Protection,Pariang
Nonviolent Peaceforce,Protection,Rubkona
Nonviolent Peaceforce,Protection,Malakal
Nonviolent Peaceforce,Protection,Ulang
Nonviolent Peaceforce,Conflict Prevention and Peacebuilding,Juba
Nonviolent Peaceforce,Conflict Prevention and Peacebuilding,Rumbek Centre
Nonviolent Peaceforce,Conflict Prevention and Peacebuilding,Rumbek East
Nonviolent Peaceforce,Conflict Prevention and Peacebuilding,Aweil North
SNV,Education,Magwi
SNV,Education,Torit
SNV,Food Security & Livlihoods,Juba
SNV,Food Security & Livlihoods,Terekeka
SNV,Food Security & Livlihoods,Lafon
SNV,Food Security & Livlihoods,Magwi
SNV,WASH,Kapoeta East
SNV,WASH,Kapoeta North
SNV,WASH,Kapoeta South
SNV,WASH,Rumbek East
SNV,WASH,Yirol West
SNV,WASH,Aweil East
SNV,WASH,Aweil North
SNV,WASH,Aweil North
Catholic Relief Services,Food Security & Livlihoods,Akobo
Catholic Relief Services,Food Security & Livlihoods,Ayod
Catholic Relief Services,Food Security & Livlihoods,Bor South
Catholic Relief Services,Food Security & Livlihoods,Twic East
Catholic Relief Services,Food Security & Livlihoods,Duk
Catholic Relief Services,Food Security & Livlihoods,Pibor
Catholic Relief Services,Food Security & Livlihoods,Pochalla
Catholic Relief Services,Food Security & Livlihoods,Uror
Catholic Relief Services,Food Security & Livlihoods,Awerial
Catholic Relief Services,Nutrition,Akobo
Catholic Relief Services,Nutrition,Ayod
Catholic Relief Services,Nutrition,Bor South
Catholic Relief Services,Nutrition,Twic East
Catholic Relief Services,Nutrition,Duk
Catholic Relief Services,Nutrition,Pibor
Catholic Relief Services,Nutrition,Pochalla
Catholic Relief Services,Nutrition,Uror
Catholic Relief Services,Nutrition,Awerial
Catholic Relief Services,Protection,Bor South
Catholic Relief Services,Shelter and Non-Food Items,Bor South
Catholic Relief Services,Shelter and Non-Food Items,Twic East
Catholic Relief Services,Shelter and Non-Food Items,Duk
Catholic Relief Services,Shelter and Non-Food Items,Awerial
Catholic Relief Services,WASH,Bor South
Catholic Relief Services,WASH,Twic East
Catholic Relief Services,WASH,Duk
Catholic Relief Services,WASH,Pibor
Catholic Relief Services,WASH,Pochalla
Catholic Relief Services,WASH,Uror
Catholic Relief Services,WASH,Awerial
Catholic Relief Services,Conflict Prevention and Peacebuilding,Juba
Catholic Relief Services,Conflict Prevention and Peacebuilding,Budi
Catholic Relief Services,Conflict Prevention and Peacebuilding,Kapoeta East
Catholic Relief Services,Conflict Prevention and Peacebuilding,Kapoeta North
Catholic Relief Services,Conflict Prevention and Peacebuilding,Kapoeta South
Catholic Relief Services,Conflict Prevention and Peacebuilding,Lafon
Catholic Relief Services,Conflict Prevention and Peacebuilding,Magwi
Catholic Relief Services,Conflict Prevention and Peacebuilding,Torit
Catholic Relief Services,Conflict Prevention and Peacebuilding,Awerial
Catholic Relief Services,Conflict Prevention and Peacebuilding,Rumbek Centre
Catholic Relief Services,Conflict Prevention and Peacebuilding,Rumbek East
Catholic Relief Services,Conflict Prevention and Peacebuilding,Rumbek North
Catholic Relief Services,Governance and Rule of Law,Budi
Catholic Relief Services,Governance and Rule of Law,Kapoeta East
Catholic Relief Services,Governance and Rule of Law,Kapoeta North
Catholic Relief Services,Governance and Rule of Law,Kapoeta South
Catholic Relief Services,Governance and Rule of Law,Lafon
Catholic Relief Services,Governance and Rule of Law,Magwi
Catholic Relief Services,Governance and Rule of Law,Torit
Catholic Relief Services,Governance and Rule of Law,Rumbek Centre
Catholic Relief Services,Governance and Rule of Law,Rumbek East
Catholic Relief Services,Governance and Rule of Law,Rumbek North
Free Voice Foundation,Conflict Prevention and Peacebuilding,Juba
Free Voice Foundation,Conflict Prevention and Peacebuilding,Bor South
Free Voice Foundation,Conflict Prevention and Peacebuilding,Pibor
Free Voice Foundation,Conflict Prevention and Peacebuilding,Aweil Centre
Free Voice Foundation,Conflict Prevention and Peacebuilding,Wau
Free Voice Foundation,Conflict Prevention and Peacebuilding,Renk
Finn Church Aid,Education,Fangak
Finn Church Aid,Education,Pibor
Finn Church Aid,Education,Awerial
Finn Church Aid,Food Security & Livlihoods,Pibor
Finn Church Aid,Food Security & Livlihoods,Awerial
Finn Church Aid,Conflict Prevention and Peacebuilding,Pibor
People in Need,Food Security & Livlihoods,Aweil North
People in Need,Food Security & Livlihoods,Aweil West
People in Need,Nutrition,Aweil North
People in Need,Nutrition,Aweil West
People in Need,WASH,Aweil North
People in Need,WASH,Aweil West
Japanese Center for Conflict Prevention,Protection,Juba
Japanese Center for Conflict Prevention,Conflict Prevention and Peacebuilding,Juba
Doctors with Africa CUAMM,Health,Mundri East
Doctors with Africa CUAMM,Health,Cueibet
Doctors with Africa CUAMM,Health,Rumbek Centre
Doctors with Africa CUAMM,Health,Rumbek East
Doctors with Africa CUAMM,Health,Rumbek North
Doctors with Africa CUAMM,Health,Wulu
Doctors with Africa CUAMM,Health,Yirol West
Doctors with Africa CUAMM,Nutrition,Mundri East
Doctors with Africa CUAMM,Nutrition,Cueibet
Doctors with Africa CUAMM,Nutrition,Rumbek North
Doctors with Africa CUAMM,Nutrition,Yirol West
The MENTOR Initiative,Health,Maban
The MENTOR Initiative,Health,Malakal
The MENTOR Initiative,WASH,Malakal
East African Ministries,Education,Magwi
East African Ministries,Health,Kajo-keji
East African Ministries,WASH,Juba
East African Ministries,WASH,Kajo-keji
East African Ministries,WASH,Morobo
East African Ministries,WASH,Terekeka
East African Ministries,WASH,Yei
East African Ministries,WASH,Magwi
East African Ministries,WASH,Torit
East African Ministries,WASH,Mundri West
East African Ministries,WASH,Mvolo
Johanniter,Food Security & Livlihoods,Jur River
Johanniter,Food Security & Livlihoods,Raga
Johanniter,Food Security & Livlihoods,Wau
Johanniter,Health,Nagero
Johanniter,Health,Tambura
Johanniter,Nutrition,Jur River
Johanniter,Nutrition,Raga
Johanniter,Nutrition,Wau
Voluntary Service Overseas,Education,Lainya
Voluntary Service Overseas,Education,Morobo
Voluntary Service Overseas,Education,Yei
Voluntary Service Overseas,Food Security & Livlihoods,Lainya
Voluntary Service Overseas,Food Security & Livlihoods,Morobo
Voluntary Service Overseas,Food Security & Livlihoods,Yei
World Relief,Education,Koch
World Relief,Education,Rubkona
World Relief,Food Security & Livlihoods,Ibba
World Relief,Food Security & Livlihoods,Fangak
World Relief,Food Security & Livlihoods,Koch
World Relief,Food Security & Livlihoods,Rubkona
World Relief,Health,Guit
World Relief,Health,Koch
World Relief,Health,Rubkona
World Relief,Nutrition,Fangak
World Relief,Nutrition,Koch
World Relief,Nutrition,Rubkona
World Relief,Protection,Ibba
World Relief,Protection,Koch
World Relief,Protection,Rubkona
World Relief,Shelter and Non-Food Items,Guit
World Relief,Shelter and Non-Food Items,Koch
World Relief,Conflict Prevention and Peacebuilding,Ibba
Women for Women International,Food Security & Livlihoods,Morobo
Women for Women International,Food Security & Livlihoods,Yei
Women for Women International,Health,Morobo
Women for Women International,Health,Yei
Women for Women International,Nutrition,Morobo
Women for Women International,Nutrition,Yei
Women for Women International,Protection,Morobo
Women for Women International,Protection,Yei
Women for Women International,Conflict Prevention and Peacebuilding,Yei
Sign of Hope,Food Security & Livlihoods,Rumbek Centre
Sign of Hope,Food Security & Livlihoods,Panyijiar
Sign of Hope,Health,Rumbek Centre
Sign of Hope,Health,Panyijiar
Sign of Hope,Nutrition,Rumbek Centre
Sign of Hope,Nutrition,Panyijiar
Sign of Hope,WASH,Rumbek Centre
Sign of Hope,WASH,Panyijiar
Food for the hungry,Education,Akobo
Food for the hungry,Education,Bor South
Food for the hungry,Education,Twic East
Food for the hungry,Education,Fangak
Food for the hungry,Education,Nyirol
Food for the hungry,Education,Pibor
Food for the hungry,Education,Pochalla
Food for the hungry,Education,Uror
Food for the hungry,Education,Fashoda
Food for the hungry,Education,Maban
Food for the hungry,Education,Malakal
Food for the hungry,Education,Maiwut
Food for the hungry,Education,Melut
Food for the hungry,Education,Renk
Food for the hungry,Education,Ulang
Food for the hungry,Food Security & Livlihoods,Fangak
Food for the hungry,Food Security & Livlihoods,Canal/Pigi
Food for the hungry,Food Security & Livlihoods,Ulang
Fauna and Flora International,Environment & Natural Resources,Ezo
Fauna and Flora International,Environment & Natural Resources,Nzara
Fauna and Flora International,Environment & Natural Resources,Yambio
Caritas Switzerland,Education,Budi
Caritas Switzerland,Education,Ikotos
Caritas Switzerland,Education,Kapoeta East
Caritas Switzerland,Education,Kapoeta North
Caritas Switzerland,Education,Kapoeta South
Caritas Switzerland,Education,Lafon
Caritas Switzerland,Education,Magwi
Caritas Switzerland,Education,Torit
Caritas Switzerland,Food Security & Livlihoods,ikotos
Caritas Switzerland,Food Security & Livlihoods,Kapoeta South
Caritas Switzerland,Food Security & Livlihoods,Lafon
Caritas Switzerland,Food Security & Livlihoods,Magwi
Caritas Switzerland,Food Security & Livlihoods,Torit
Caritas Switzerland,Shelter and Non-Food Items,Budi
Caritas Switzerland,Shelter and Non-Food Items,Ikotos
Caritas Switzerland,Shelter and Non-Food Items,Kapoeta East
Caritas Switzerland,Shelter and Non-Food Items,Kapoeta North
Caritas Switzerland,Shelter and Non-Food Items,Kapoeta South
Caritas Switzerland,Shelter and Non-Food Items,Lafon
Caritas Switzerland,Shelter and Non-Food Items,Magwi
Caritas Switzerland,WASH,Ikotos
Caritas Switzerland,WASH,Kapoeta East
Caritas Switzerland,WASH,Kapoeta North
Caritas Switzerland,WASH,Kapoeta South
Caritas Switzerland,WASH,Torit
African Development Solution,Food Security & Livlihoods,Aweil North
African Development Solution,Food Security & Livlihoods,Aweil West
African Development Solution,Health,Juba
African Development Solution,Health,Aweil North
African Development Solution,Health,Aweil West
African Development Solution,WASH,Juba
African Development Solution,WASH,Aweil North
African Development Solution,WASH,Aweil West
Malteser International,Education,Rumbek Centre
Malteser International,Food Security & Livlihoods,Maridi
Malteser International,Food Security & Livlihoods,Wau
Malteser International,Health,Juba
Malteser International,Health,Yei
Malteser International,Health,Rumbek Centre
Malteser International,WASH,Juba
Mennonite Central Committee,Education,Juba
Mennonite Central Committee,Education,Rumbek Centre
Mennonite Central Committee,Food Security & Livlihoods,Juba
Mennonite Central Committee,Food Security & Livlihoods,Cueibet
Mennonite Central Committee,Health,Lakes
Mennonite Central Committee,Health,Rumbek Centre
Mennonite Central Committee,Nutrition,Juba
Mennonite Central Committee,Nutrition,Rumbek North
Mennonite Central Committee,WASH,Rumbek Centre
Mennonite Central Committee,Conflict Prevention and Peacebuilding,Juba
Mennonite Central Committee,Conflict Prevention and Peacebuilding,Rumbek Centre
HEKS- EPER  Swiss Church Aid,Food Security & Livlihoods,Juba
HEKS- EPER  Swiss Church Aid,Food Security & Livlihoods,Lainya
HEKS- EPER  Swiss Church Aid,Food Security & Livlihoods,Terekeka
HEKS- EPER  Swiss Church Aid,WASH,Juba
HEKS- EPER  Swiss Church Aid,WASH,Kajo-keji
HEKS- EPER  Swiss Church Aid,WASH,Lainya
HEKS- EPER  Swiss Church Aid,WASH,Morobo
HEKS- EPER  Swiss Church Aid,WASH,Terekeka
HEKS- EPER  Swiss Church Aid,WASH,Yei
HEKS- EPER  Swiss Church Aid,Conflict Prevention and Peacebuilding,Juba
HEKS- EPER  Swiss Church Aid,Conflict Prevention and Peacebuilding,Kajo-keji
HEKS- EPER  Swiss Church Aid,Conflict Prevention and Peacebuilding,Terekeka
Action Against Hunger,Food Security & Livlihoods,Duk
Action Against Hunger,Food Security & Livlihoods,Fangak
Action Against Hunger,Food Security & Livlihoods,Aweil Centre
Action Against Hunger,Food Security & Livlihoods,Aweil East
Action Against Hunger,Food Security & Livlihoods,Gogrial West
Action Against Hunger,Nutrition,Aweil East
Action Against Hunger,Nutrition,Gogrial West
Action Against Hunger,Shelter and Non-Food Items,Duk
Action Against Hunger,Shelter and Non-Food Items,Fangak
Action Against Hunger,Shelter and Non-Food Items,Aweil Centre
Action Against Hunger,Shelter and Non-Food Items,Aweil East
Action Against Hunger,Shelter and Non-Food Items,Gogrial West
Action Against Hunger,WASH,Juba
Action Against Hunger,WASH,Duk
Action Against Hunger,WASH,Fangak
Action Against Hunger,WASH,Aweil Centre
Action Against Hunger,WASH,Aweil East
Action Against Hunger,WASH,Gogrial West
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Juba
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Morobo
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Magwi
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Aweil Centre
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Aweil North
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Aweil South
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Aweil West
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Panyijiar
Welthungerhilfe/German Agro Action,Food Security & Livlihoods,Rubkona
Welthungerhilfe/German Agro Action,WASH,Aweil Centre
