"Organisation","SectorCluster","County"
"Catholic Organization for Relief and Development Aid","FSL","Guit"
"Catholic Relief Service","WASH","Bor South"
"Catholic Relief Service","WASH","Duk"
"Catholic Relief Service","WASH","Pibor"
"Catholic Relief Service","WASH","Twic East"
"Catholic Relief Service","WASH","Awerial"
"Catholic Relief Service","WASH","Yirol East"
"Catholic Relief Service","Nutrition","Ayod"
"Catholic Relief Service","Nutrition","Duk"
"Catholic Relief Service","Nutrition","Awerial"
"Catholic Relief Service","FSL","Akobo"
"Catholic Relief Service","FSL","Bor South"
"Catholic Relief Service","FSL","Duk"
"Catholic Relief Service","FSL","Pibor"
"Catholic Relief Service","FSL","Twic East"
"Catholic Relief Service","FSL","Awerial"
"Christian Mission Aid","Nutrition","Fangak"
"Christian Mission Aid","Nutrition","Nyirol"
"Christian Mission Aid","Health","Fangak"
"Christian Mission Aid","Health","Nyirol"
"Comitato Collaborazione Medica","Nutrition","Tonj East"
"Comitato Collaborazione Medica","Nutrition","Tonj South"
"Concern Worldwide","WASH","Aweil North"
"Concern Worldwide","WASH","Aweil West"
"Concern Worldwide","WASH","Guit"
"Concern Worldwide","WASH","Rubkona"
"Concern Worldwide","ES & NFIs","Juba"
"Concern Worldwide","ES & NFIs","Rubkona"
"Concern Worldwide","Nutrition","Juba"
"Concern Worldwide","Nutrition","Aweil North"
"Concern Worldwide","Nutrition","Aweil West"
"Concern Worldwide","Nutrition","Guit"
"Concern Worldwide","Nutrition","Rubkona"
"Concern Worldwide","ES & NFIs","Wau"
"Concern Worldwide","FSL","Juba"
"Concern Worldwide","FSL","Aweil North"
"Concern Worldwide","FSL","Aweil West"
"Concern Worldwide","FSL","Guit"
"Concern Worldwide","FSL","Rubkona"
"Danish Church Aid","Protection","Juba"
"Danish Church Aid","Protection","Magwi"
"Danish Church Aid","Protection","Torit"
"Danish Church Aid","Protection","Bor South"
"Danish Church Aid","Protection","Rumbek Centre"
"Danish Demining Group","Protection","Bor South"
"Danish Demining Group","Protection","Abiemnhom"
"Danish Demining Group","Protection","Fashoda"
"Danish Demining Group","Protection","Guit"
"Danish Demining Group","Protection","Koch"
"Danish Demining Group","Protection","Leer"
"Danish Demining Group","Protection","Mayom"
"Danish Demining Group","Protection","Rubkona"
"Danish Demining Group","Protection","Maban"
"Danish Refugee Council","ES & NFIs","Magwi"
"Danish Refugee Council","ES & NFIs","Malakal"
"Danish Refugee Council","CCCM","Fashoda"
"Danish Refugee Council","CCCM","Guit"
"Danish Refugee Council","CCCM","Koch"
"Danish Refugee Council","CCCM","Rubkona"
"Danish Refugee Council","Protection","Magwi"
"Danish Refugee Council","Protection","Fashoda"
"Danish Refugee Council","Protection","Guit"
"Danish Refugee Council","Protection","Mayom"
"Danish Refugee Council","Protection","Rubkona"
"Danish Refugee Council","Protection","Malakal"
"Doctors with Africa","Nutrition","Awerial"
"Doctors with Africa","Nutrition","Cueibet"
"Doctors with Africa","Nutrition","Rumbek Centre"
"Doctors with Africa","Nutrition","Rumbek East"
"Doctors with Africa","Nutrition","Rumbek North"
"Doctors with Africa","Nutrition","Wulu"
"Doctors with Africa","Nutrition","Yirol East"
"Doctors with Africa","Nutrition","Yirol West"
"Doctors with Africa","Nutrition","Mundri East"
"Doctors with Africa","Health","Awerial"
"Doctors with Africa","Health","Cueibet"
"Doctors with Africa","Health","Rumbek Centre"
"Doctors with Africa","Health","Rumbek East"
"Doctors with Africa","Health","Rumbek North"
"Doctors with Africa","Health","Wulu"
"Doctors with Africa","Health","Yirol East"
"Doctors with Africa","Health","Yirol West"
"Doctors with Africa","Health","Panyijiar"
"Doctors with Africa","Health","Maridi"
"Doctors with Africa","Health","Mundri East"
"Doctors with Africa","Health","Mundri West"
"Doctors with Africa","Health","Mvolo"
"Dorcas International","FSL","Aweil North"
"Dorcas International","FSL","Gogrial West"
"Dorcas International","FSL","Jur River"
"Dorcas International","FSL","Wau"
"Finn Church Aid","Education","Fangak"
"Finn Church Aid","Education","Pibor"
"Finn Church Aid","Education","Awerial"
"Finn Church Aid","FSL","Yei"
"Finn Church Aid","FSL","Fangak"
"Finn Church Aid","FSL","Awerial"
"Food for The Hungry","FSL","Canal/Pigi"
"Food for The Hungry","FSL","Fangak"
"Food for The Hungry","FSL","Ulang"
"Food for The Hungry","FSL","Mundri East"
"Food for The Hungry","FSL","Mundri West"
"Food for The Hungry","FSL","Mvolo"
"GOAL","Nutrition","Melut"
"GOAL","Nutrition","Ulang"
"GOAL","Health","Melut"
"GOAL","Health","Ulang"
"GOAL","FSL","Abyei Region"
"GOAL","FSL","Melut"
"GOAL","FSL","Ulang"
"GOAL","FSL","Twic"
"IMA World Health","Health","Manyo"
"Impact Health Organisation","Nutrition","Magwi"
"Impact Health Organisation","Health","Terekeka"
"International Aid Services","WASH","Bor South"
"International Aid Services","WASH","Pibor"
"International Aid Services","WASH","Aweil Centre"
"International Aid Services","WASH","Aweil East"
"International Aid Services","WASH","Aweil West"
"International Aid Services","WASH","Pariang"
"International Aid Services","WASH","Jur River"
"International Aid Services","WASH","Wau"
"International Aid Services","WASH","Mundri East"
"International Aid Services","WASH","Mundri West"
"International Aid Services","WASH","Mvolo"
"International Medical Corps","Nutrition","Juba"
"International Medical Corps","Nutrition","Akobo"
"International Medical Corps","Nutrition","Panyijiar"
"International Medical Corps","Nutrition","Maban"
"International Medical Corps","Nutrition","Malakal"
"International Medical Corps","Health","Juba"
"International Medical Corps","Health","Akobo"
"International Medical Corps","Health","Maban"
"International Medical Corps","Health","Malakal"
"International Medical Corps","Health","Wau"
"International Rescue Committee ","Nutrition","Aweil East"
"International Rescue Committee ","Nutrition","Aweil South"
"International Rescue Committee ","Nutrition","Panyijiar"
"International Rescue Committee ","Health","Aweil East"
"International Rescue Committee ","Health","Aweil South"
"International Rescue Committee ","Health","Panyijiar"
"International Rescue Committee ","Protection","Juba"
"International Rescue Committee ","Protection","Panyijiar"
"International Rescue Committee ","Protection","Pariang"
"International Rescue Committee ","Protection","Rubkona"
"Internews","CCCM","Juba"
"Internews","CCCM","Rubkona"
"Internews","CCCM","Malakal"
"Internews","CCCM","Wau"
"INTERSOS","ES & NFIs","Magwi"
"INTERSOS","ES & NFIs","Torit"
"INTERSOS","ES & NFIs","Akobo"
"INTERSOS","ES & NFIs","Ayod"
"INTERSOS","Education","Juba"
"INTERSOS","Education","Akobo"
"INTERSOS","Education","Bor South"
"INTERSOS","Education","Nyirol"
"INTERSOS","Education","Fashoda"
"INTERSOS","Education","Mayendit"
"INTERSOS","Education","Mayom"
"INTERSOS","Education","Rubkona"
"INTERSOS","Education","Malakal"
"INTERSOS","Education","Ezo"
"INTERSOS","Education","Yambio"
"INTERSOS","Protection","Magwi"
"INTERSOS","Protection","Akobo"
"INTERSOS","Protection","Nyirol"
"INTERSOS","Protection","Pibor"
"INTERSOS","Protection","Uror"
"Jesuit Refugee Services","Education","Maban"
"Jesuit Refugee Services","Education","Yambio"
"Joint Aid Management International","Nutrition","Pibor"
"Joint Aid Management International","FSL","Pibor"
"Joint Aid Management International","FSL","Aweil South"
"Joint Aid Management International","FSL","Aweil West"
"Joint Aid Management International","FSL","Guit"
"Joint Aid Management International","FSL","Gogrial West"
"MAGNA Children at Risk","Health","Duk"
"Medair","WASH","Leer"
"Medair","WASH","Renk"
"Medair","WASH","Ulang"
"Medair","ES & NFIs","Malakal"
"Medair","ES & NFIs","Ulang"
"Medair","ES & NFIs","Mundri West"
"Medair","Nutrition","Aweil Centre"
"Medair","Nutrition","Leer"
"Medair","Nutrition","Mayendit"
"Medair","Nutrition","Renk"
"Medair","Nutrition","Ulang"
"Medair","Nutrition","Wau"
"Medair","Health","Aweil Centre"
"Medair","Health","Leer"
"Medair","Health","Renk"
"Medecins Sans Frontieres","Health","Nyirol"
"Medicos del Mundo (Doctors of the World)","Health","Bor South"
"Mercy Corps","FSL","Panyijiar"
"Mercy Corps","FSL","Rubkona"
"Mercy Corps","FSL","Mundri East"
"Mine Advisory Group","Protection","Juba"
"Mine Advisory Group","Protection","Kajo-keji"
"Mine Advisory Group","Protection","Lainya"
"Mine Advisory Group","Protection","Morobo"
"Mine Advisory Group","Protection","Terekeka"
"Mine Advisory Group","Protection","Yei"
"Mine Advisory Group","Protection","Bor South"
"Mine Advisory Group","Protection","Maiwut"
"Mine Advisory Group","Protection","Tonj South"
"Mine Advisory Group","Protection","Jur River"
"Mine Advisory Group","Protection","Wau"
"Mine Advisory Group","Protection","Mvolo"
"Nonviolent Peaceforce","ES & NFIs","Ulang"
"Nonviolent Peaceforce","Protection","Juba"
"Nonviolent Peaceforce","Protection","Nyirol"
"Nonviolent Peaceforce","Protection","Cueibet"
"Nonviolent Peaceforce","Protection","Rumbek Centre"
"Nonviolent Peaceforce","Protection","Rumbek East"
"Nonviolent Peaceforce","Protection","Aweil Centre"
"Nonviolent Peaceforce","Protection","Aweil East"
"Nonviolent Peaceforce","Protection","Aweil North"
"Nonviolent Peaceforce","Protection","Aweil South"
"Nonviolent Peaceforce","Protection","Aweil West"
"Nonviolent Peaceforce","Protection","Fashoda"
"Nonviolent Peaceforce","Protection","Mayendit"
"Nonviolent Peaceforce","Protection","Mayom"
"Nonviolent Peaceforce","Protection","Panyijiar"
"Nonviolent Peaceforce","Protection","Rubkona"
"Nonviolent Peaceforce","Protection","Manyo"
"Nonviolent Peaceforce","Protection","Ulang"
"Nonviolent Peaceforce","Protection","Jur River"
"Nonviolent Peaceforce","Protection","Wau"
"Nonviolent Peaceforce","Protection","Mundri East"
"Nonviolent Peaceforce","Protection","Mundri West"
"Norwegian Church Aid","ES & NFIs","Wau"
"Norwegian Refugee Council","ES & NFIs","Kapoeta South"
"Norwegian Refugee Council","ES & NFIs","Duk"
"Norwegian Refugee Council","Education","Juba"
"Norwegian Refugee Council","Education","Bor South"
"Norwegian Refugee Council","Education","Duk"
"Norwegian Refugee Council","Education","Nyirol"
"Norwegian Refugee Council","Education","Twic East"
"Norwegian Refugee Council","Education","Aweil Centre"
"Norwegian Refugee Council","Education","Aweil East"
"Norwegian Refugee Council","Education","Aweil North"
"Norwegian Refugee Council","Education","Aweil South"
"Norwegian Refugee Council","Education","Aweil West"
"Norwegian Refugee Council","Education","Gogrial West"
"Norwegian Refugee Council","Education","Twic"
"Norwegian Refugee Council","Education","Wau"
"Norwegian Refugee Council","FSL","Aweil Centre"
"Norwegian Refugee Council","FSL","Aweil East"
"Norwegian Refugee Council","FSL","Aweil North"
"Norwegian Refugee Council","FSL","Aweil West"
"Norwegian Refugee Council","FSL","Koch"
"Norwegian Refugee Council","FSL","Wau"
"Oxfam GB","WASH","Juba"
"Oxfam GB","WASH","Akobo"
"Oxfam GB","WASH","Nyirol"
"Oxfam GB","WASH","Pibor"
"Oxfam GB","WASH","Twic East"
"Oxfam GB","WASH","Panyijiar"
"Oxfam GB","WASH","Wau"
"Oxfam GB","Protection","Akobo"
"Oxfam GB","Protection","Pibor"
"Oxfam GB","Protection","Twic East"
"Oxfam GB","FSL","Akobo"
"Oxfam GB","FSL","Nyirol"
"Oxfam GB","FSL","Pibor"
"Oxfam GB","FSL","Panyijiar"
"Oxfam GB","FSL","Baliet"
"Oxfam GB","FSL","Malakal"
"Plan International","ES & NFIs","Morobo"
"Plan International","ES & NFIs","Yei"
"Plan International","Nutrition","Lainya"
"Plan International","Nutrition","Kapoeta East"
"Plan International","Nutrition","Pibor"
"Plan International","Nutrition","Awerial"
"Plan International","Nutrition","Cueibet"
"Plan International","Nutrition","Rumbek Centre"
"Plan International","Nutrition","Rumbek East"
"Plan International","Education","Lainya"
"Plan International","Education","Yei"
"Plan International","Education","Magwi"
"Plan International","Education","Awerial"
"Plan International","Education","Rumbek Centre"
"Plan International","Education","Rumbek East"
"Plan International","Education","Wulu"
"Plan International","FSL","Lainya"
"Plan International","FSL","Yei"
"Plan International","FSL","Kapoeta East"
"Plan International","FSL","Kapoeta North"
"Plan International","FSL","Kapoeta South"
"Plan International","FSL","Torit"
"Plan International","FSL","Pibor"
"Plan International","FSL","Awerial"
"Plan International","FSL","Rumbek Centre"
"Plan International","FSL","Rumbek East"
"Plan International","FSL","Wulu"
"Polish Humanitarian Action","ES & NFIs","Magwi"
"Polish Humanitarian Action","ES & NFIs","Nyirol"
"Polish Humanitarian Action","ES & NFIs","Uror"
"Polish Humanitarian Action","ES & NFIs","Ibba"
"Polish Humanitarian Action","Education","Magwi"
"Polish Humanitarian Action","Education","Maridi"
"Polish Humanitarian Action","FSL","Magwi"
"Polish Humanitarian Action","FSL","Koch"
"Real Medicine Foundation","Nutrition","Ayod"
"Real Medicine Foundation","Nutrition","Pibor"
"Relief International","Nutrition","Luakpiny/Nasir"
"Relief International","Nutrition","Maban"
"Relief International","Nutrition","Maiwut"
"Relief International","Health","Longochuk"
"Relief International","Health","Ulang"
"Relief International","FSL","Maban"
"Samaritan's Purse","WASH","Abiemnhom"
"Samaritan's Purse","WASH","Mayendit"
"Samaritan's Purse","WASH","Mayom"
"Samaritan's Purse","Nutrition","Mayendit"
"Samaritan's Purse","Nutrition","Pariang"
"Samaritan's Purse","Nutrition","Maban"
"Samaritan's Purse","Health","Maban"
"Save the Children","Nutrition","Abyei region"
"Save the Children","Nutrition","Kapoeta North"
"Save the Children","Nutrition","Lafon"
"Save the Children","Nutrition","Magwi"
"Save the Children","Nutrition","Torit"
"Save the Children","Nutrition","Akobo"
"Save the Children","Nutrition","Bor South"
"Save the Children","Nutrition","Nyirol"
"Save the Children","Education","Akobo"
"Save the Children","Education","Bor South"
"Save the Children","Education","Nyirol"
"Save the Children","Education","Uror"
"Save the Children","Education","Rumbek Centre"
"Save the Children","Education","Rumbek East"
"Save the Children","Education","Maban"
"Save the Children","Health","Abyei region"
"Save the Children","Health","Kapoeta North"
"Save the Children","Health","Magwi"
"Save the Children","Health","Torit"
"Save the Children","FSL","Abyei Region"
"Save the Children","FSL","Akobo"
"Save the Children","FSL","Aweil East"
"Solidarites International","ES & NFIs","Wau"
"Tearfund","Nutrition","Twic East"
"Tearfund","Nutrition","Uror"
"Tearfund","FSL","Twic East"
"Tearfund","FSL","Uror"
"Tearfund","FSL","Aweil East"
"Tearfund","FSL","Mundri East"
"Terre des Hommes","Health","Lainya"
"Terre des Hommes","FSL","Yei"
"VSF - Germany","FSL","Akobo"
"VSF - Germany","FSL","Ayod"
"VSF - Germany","FSL","Fangak"
"VSF - Germany","FSL","Pibor"
"VSF - Germany","FSL","Twic East"
"VSF - Germany","FSL","Cueibet"
"VSF - Germany","FSL","Luakpiny/Nasir"
"VSF - Germany","FSL","Ulang"
"VSF - Germany","FSL","Gogrial East"
"VSF - Germany","FSL","Jur River"
"VSF - Switzerland","FSL","Pibor"
"VSF - Switzerland","FSL","Guit"
"VSF - Switzerland","FSL","Leer"
"VSF - Switzerland","FSL","Mayendit"
"VSF - Switzerland","FSL","Mayom"
"VSF - Switzerland","FSL","Panyijiar"
"VSF - Switzerland","FSL","Pariang"
"VSF - Switzerland","FSL","Rubkona"
"VFC","Protection","Yei"
"War Child","FSL","Jur River"
"War Child Canada","Education","Malakal"
"War Child Canada","Education","Jur River"
"War Child Canada","Education","Wau"
"Welthungerhilfe","WASH","Aweil West"
"Welthungerhilfe","WASH","Panyijiar"
"Welthungerhilfe","FSL","Aweil North"
"Welthungerhilfe","FSL","Aweil West"
"Welthungerhilfe","FSL","Panyijiar"
"Welthungerhilfe","FSL","Rubkona"
"World Relief","ES & NFIs","Ibba"
"World Relief","Nutrition","Fangak"
"World Relief","Nutrition","Koch"
"World Relief","Nutrition","Rubkona"
"World Relief","Education","Fangak"
"World Relief","Education","Guit"
"World Relief","Education","Koch"
"World Relief","Education","Rubkona"
"World Vision International","WASH","Fashoda"
"World Vision International","WASH","Baliet"
"World Vision International","WASH","Malakal"
"World Vision International","WASH","Manyo"
"World Vision International","WASH","Melut"
"World Vision International","WASH","Panyikang"
"World Vision International","WASH","Renk"
"World Vision International","WASH","Ezo"
"World Vision International","WASH","Nzara"
"World Vision International","WASH","Tambura"
"World Vision International","WASH","Yambio"
"World Vision International","ES & NFIs","Akobo"
"World Vision International","ES & NFIs","Ulang"
"World Vision International","ES & NFIs","Tambura"
"World Vision International","ES & NFIs","Yambio"
"World Vision International","Nutrition","Juba"
"World Vision International","Nutrition","Fashoda"
"World Vision International","Nutrition","Melut"
"World Vision International","Nutrition","Gogrial East"
"World Vision International","Nutrition","Gogrial West"
"World Vision International","Nutrition","Tonj North"
"World Vision International","Nutrition","Twic"
"World Vision International","Nutrition","Nagero"
"World Vision International","Nutrition","Tambura"
"World Vision International","Education","Juba"
"World Vision International","Education","Melut"
"World Vision International","Education","Renk"
"World Vision International","Education","Tambura"
"World Vision International","Education","Yambio"
"World Vision International","Health","Gogrial East"
"World Vision International","Health","Gogrial West"
"World Vision International","Health","Tonj North"
"World Vision International","Health","Twic"
"ZOA","FSL","Bor South"
"ZOA","FSL","Pibor"
