Organisation,Sector,Mantiqa,Activity
CESVI,TEST DATA 2,Misrata,"Capacity building targeting local stakeholders (CSOs and frontline workers, and local authorities)"
CESVI,TEST DATA 2,Misrata,"Capacity building targeting local stakeholders (CSOs and frontline workers, and local authorities)"
CESVI,TEST DATA 3,Misrata,Community led initiatives (pilot project)
CESVI,TEST DATA 3,Misrata,Vulnerability/Protection Assessment
CESVI,TEST DATA 3,Tripoli,Vulnerability/Protection Assessment
CESVI,TEST DATA 3,Zwara,Vulnerability/Protection Assessment
CESVI,TEST DATA 3,Misrata,Parenting sessions
CESVI,TEST DATA 3,Tripoli,Parenting sessions
CESVI,TEST DATA 3,Zwara,Parenting sessions
CESVI,TEST DATA 3,Misrata,Formal/Non-formal education services to school aged children (girls and boys)
CESVI,TEST DATA 3,Tripoli,Formal/Non-formal education services to school aged children (girls and boys)
CESVI,TEST DATA 3,Zwara,Formal/Non-formal education services to school aged children (girls and boys)
CESVI,TEST DATA 3,Misrata,Distribution of learning materials
CESVI,TEST DATA 3,Tripoli,Distribution of learning materials
CESVI,TEST DATA 3,Zwara,Distribution of learning materials
CESVI,TEST DATA 3,Misrata,Cash for transportation to participate in Cesvi education services
CESVI,TEST DATA 3,Tripoli,Cash for transportation to participate in Cesvi education services
CESVI,TEST DATA 3,Zwara,Cash for transportation to participate in Cesvi education services
CESVI,TEST DATA 3,Misrata,PSS
CESVI,TEST DATA 3,Tripoli,PSS
CESVI,TEST DATA 3,Zwara,PSS
CESVI,TEST DATA 3,Misrata,Case Management
CESVI,TEST DATA 3,Tripoli,Case Management
CESVI,TEST DATA 3,Misrata,Cash for access to services to cover protection needs (for example medical care)
CESVI,TEST DATA 3,Tripoli,Cash for access to services to cover protection needs (for example medical care)
CESVI,TEST DATA 3,Misrata,Training to service providers and institutions on CP approaches
CESVI,TEST DATA 3,Tripoli,Training to service providers and institutions on CP approaches
CESVI,TEST DATA 3,Zwara,Training to service providers and institutions on CP approaches
CESVI,TEST DATA 3,Tripoli,Case Management
CESVI,TEST DATA 3,Tripoli,Case Management
CESVI,TEST DATA 3,Tripoli,PSS
CESVI,TEST DATA 3,Tripoli,PSS
CESVI,TEST DATA 3,Tripoli,Vulnerability/Protection Assessment
CESVI,TEST DATA 3,Tripoli,Multipurpose cash assistance
CESVI,TEST DATA 3,Tripoli,Individuals accomondated in host families
CESVI,TEST DATA 3,Tripoli,Individuals accomondated in host families
CESVI,TEST DATA 3,Tripoli,Awareness sessions
CESVI,TEST DATA 3,Tripoli,Awareness sessions
CESVI,TEST DATA 3,Tripoli,NFI distribution
DRC,TEST DATA 3,Tripoli,"Increasing water accessibity by providing (3) water tanks, Gragash site 3,4 "
DRC,TEST DATA 3,Tripoli,"improving shelter conditions by rehabiliating the site to expand the shelter space, increasing lighing system, insalling railhands for beneficiars protection. Gragash site 1"
DRC,TEST DATA 3,Tripoli,"improving collective shelter condition by enhancing the lighting system, improving sealing off by providing windows, increasing security by insalling door lockers, improving WASH facilites by conducting toilets maintenance. "
DRC,TEST DATA 3,Tripoli,"improving beneficiares protection within the informal settelement by providing lighting system within staris areas, as well as improving water accessibity within the informal settelement by providing water well pump to increasing water capacity to cover the informal settelement."
DRC,TEST DATA 3,Tripoli,"Improving WASH facilites by providing water heaters, water mixers, as well as increasing lighning system within Toiltes areas to increase beneficieares protection. Sectors within the camp are 13,14,15,16,17"
DRC,TEST DATA 3,Tripoli,"improving water accessibility within the informal settlement  by providing water network inculdes water tanks, water pumps, and fittings. Plus shelter materials including sealing off items and electrical wires to improve protection/lighting system within stairs areas."
DRC,TEST DATA 3,Tripoli,Improving informal settlement condition by providing electrical cable to increase electrical capacity within the informal settelement plus sealing off  materials.
DRC,TEST DATA 3,Tripoli,Improving safety condition within infomal settlement /abandoned buildings by providing fire extinguishers 
DRC,TEST DATA 3,Aljfara,improving shelter conditions by providing shelter and WASH materials for newly IDPs post April 2020 military operation. 
DRC,TEST DATA 3,Tripoli,"Improving WASH facilities and accessibility by providing additional (3) toilets, water heater, mixer showers to the existing toilets as well as adding additional water tank. Gragash site 1"
DRC,TEST DATA 3,Tripoli,"Distribution of hygiene and  handwashing items - Gergaresh Site 1,2,3,4"
DRC,TEST DATA 3,Tripoli,Distribution of hygiene and  handwashing items - Tarik Al Sika IDP camp
DRC,TEST DATA 3,Tripoli,Distribution of hygiene and  handwashing items - Njila IDP Camp
DRC,TEST DATA 3,Tripoli,Distribution of hygiene and  handwashing items -  Al Sarraj IDP camp
DRC,TEST DATA 3,Tripoli,Distribution of hygiene and  handwashing items -  Alkrimiya site 1
DRC,TEST DATA 3,Tripoli,Distribution of hygiene and  handwashing items - Sayyad IDP camp
DRC,TEST DATA 3,Tripoli,Desludging of basement of 6 buildings -  Tarik Al Sika IDP camp
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Ibn Khaldoun Health Facility
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Ibn Khaldoun Health Facility
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Al Qawmia Arabia School
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Al Qawmia Arabia School
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Ghout Al Shaal Health Center
DRC,TEST DATA 4,Tripoli,Rehabilitation services - Ghout Al Shaal Health Center
DRC,TEST DATA 4,Tripoli,"Distribution of Bread Vouchers - Gergaresh 1,2,3,4"
DRC,TEST DATA 4,Tripoli,Food Distribution - Anjila IDP Camp
DRC,TEST DATA 4,Tripoli,Food Distribution - Gergaresh 3
DRC,TEST DATA 4,Tripoli,Increasing drink water accessibity by providing water desalination machine.
DRC,TEST DATA 4,Tripoli,"creating gender segregation between male/female toiets includes internal speration and insalling new door, and improving lighting system as well as providing water mixers/shower mixres and water heaters  lighting system sector 1,2,3,4"
DRC,TEST DATA 4,Tripoli,"improving migrants site (Gragsh, site-1) emegency maintenace by supporting the existing rooms ceiling and insalling toilets doors, sealing off materials plus providing water tanke with its fitting"
DRC,TEST DATA 4,Tripoli,"improving Quran collective shelter by maitenace toietls sewage pipe, creating network for water heater and water pump as well as door lockers "
DRC,TEST DATA 4,Tripoli,"improving water accessibility within the informal settlement  by providing water network inculdes water tanks, water pumps and its fittings"
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Aljfara,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Legal assistance
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Legal assistance
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Legal assistance
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Legal assistance
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Legal assistance
DRC,TEST DATA 4,Tripoli,Information dissemination
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Al Jabal Al Gharbi,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Aljfara,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Aljfara,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Tripoli,Protection Monitoring
DRC,TEST DATA 4,Aljfara,Protection Monitoring
DRC,TEST DATA 4,Aljfara,Protection Monitoring
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DRC,TEST DATA 4,Tripoli,"Case Management (IPA, Referrals, Case Management)"
DDG,TEST DATA 4,Benghazi,Explosive Ordnance Disposal (EOD)
DDG,TEST DATA 4,Benghazi,Explosive Ordnance Disposal (EOD)
DDG,TEST DATA 4,Benghazi,Explosive Ordnance Disposal (EOD)
DDG,TEST DATA 4,Misrata,Explosive Ordnance Disposal (EOD)
DDG,TEST DATA 4,Tripoli,Explosive Ordnance Disposal (EOD)
DDG,TEST DATA 4,Sebha,Non-Technical Survey (NTS)
DDG,TEST DATA 4,Sebha,Explosive Ordnance Risk Education (EORE)
DDG,TEST DATA 4,Sebha,Explosive Ordnance Risk Education (EORE)
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Zwara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Almargeb,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Misrata,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Zwara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Azzawya,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Azzawya,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Al Jabal Al Gharbi,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Aljfara,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
DRC,TEST DATA 4,Tripoli,Three monthly transfers of Multi-purpose cash assitance
FADV,TEST DATA 4,Tripoli,PSS service for children in the DC of Tarek El Sikka/distrubution of PPE to the local community
FADV,TEST DATA 4,Zwara,Health Trainings in the Hospital of Zawiya
GC,TEST DATA 4,Tripoli,Enhance the capacity of GC’s partner CSOs and influencers to conduct IHL dissemination activities  among communities and civil society
GC,TEST DATA 4,Benghazi,Enhance the capacity of GC’s partner CSOs and influencers to conduct IHL dissemination activities  among communities and civil society
GC,TEST DATA 4,Misrata,Enhance the capacity of GC’s partner CSOs and influencers to conduct IHL dissemination activities  among communities and civil society
GC,TEST DATA 4,Alkufra,Enhance the capacity of GC’s partner CSOs and influencers to conduct IHL dissemination activities  among communities and civil society
GVC,TEST DATA 4,Tripoli,"WASH minor rehabilitation, vector control, hygiene promotion and HK distribution"
GVC,TEST DATA 4,Sebha,COVID-19 response: WASH infrastructures rehabilitation work according to the SPHERE Standards to limit the spread of the COVID-19 in schools and health facilities; hand washing stations; IPC community awareness camapaign 
GVC,TEST DATA 4,Sebha,COVID-19 response: PPE kits and medical supplies distribution
GVC,TEST DATA 4,Sebha,COVID-19: Integrated Protection programming
GVC,TEST DATA 4,Zwara,Health facilities rehabilities; Medical supplies and equipement purchase; Community awareness
GVC,TEST DATA 4,Azzawya,Health facilities rehabilities; Medical supplies and equipement purchase; Community awareness
HALO Trust,TEST DATA 4,Sirt,Mechanical Clearance
HALO Trust,TEST DATA 4,Sirt,Mechanical Clearance
HALO Trust,TEST DATA 4,Tripoli,"Non-technical survey, manual and battle area clearance, mechanical clearance"
HALO Trust,TEST DATA 4,Tripoli,"Non-technical survey, manual and battle area clearance"
HALO Trust,TEST DATA 4,Tripoli,"Manual and battle area clearance, mechanical clearance"
Helpcode,TEST DATA 4,Azzawya,"Rehabilitation of health facilities, training of medical and non medical staff, provisioning of  mobile medical teams, provisioning of medical equipment, community awareness"
Helpcode,TEST DATA 4,Ghat,"Rehabilitation of health facilities, training of medical and non medical staff, provisioning of  mobile medical teams, provisioning of medical equipment, community awareness"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Benghazi,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Tripoli,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Misrata,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Misrata,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Benghazi,"Health intervention in the communities and at PHC level through Multidiscipinary Teams (Rehabilitation & PSS).
Capacity building of health partners, provision of assistive & mobility devices and equipments"
HI,TEST DATA 4,Misrata,"Provision of a comprehensive and tailored training package aiming at reinforcing the quality of rehabilitation services in the targeted health facilities in Misrata, including on-the-job technical support"
HI,TEST DATA 4,Benghazi,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Benghazi,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Misrata,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Misrata,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Tripoli,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Tripoli,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Tripoli,"Action for Mental Health Assistance in Libya (AMAL): training of MH professionals, support to specialised centers and PHCs, Community based Mental Health Intervention"
HI,TEST DATA 4,Tripoli,MoFA Luxembourg): Emergency Risk Education intervention in South Tripoli
HI,TEST DATA 4,Tripoli,"Inclusive Humanitarian Assistance, Health and Protection Response for the Most Vulnerable, Crisis Affected Persons in Libya"
HI,TEST DATA 4,Misrata,"Inclusive Humanitarian Assistance, Health and Protection Response for the Most Vulnerable, Crisis Affected Persons in Libya"
HI,TEST DATA 4,Benghazi,"Inclusive Humanitarian Assistance, Health and Protection Response for the Most Vulnerable, Crisis Affected Persons in Libya"
IMC,TEST DATA 4,Zwara,"Improvement of the health conditions for the most vulnerable communities, including migrants, refugees, and their host communities by enhancing the access to health services"
IMC,TEST DATA 4,Tripoli,"Improvement of the health conditions for the most vulnerable communities, including migrants, refugees, and their host communities by enhancing the access to health services"
IMC,TEST DATA 4,Tripoli,"Improve access to complementary, responsive and qualitative primary health care by providing a comprehensive and tailor-made capacity building program for selected primary health care centers (PHCs) in cooperation with the Libyan Ministry of Health (MoH)"
IMC,TEST DATA 4,Tripoli,"Improve access to complementary, responsive and qualitative primary health care by providing a comprehensive and tailor-made capacity building program for selected primary health care centers (PHCs) in cooperation with the Libyan Ministry of Health (MoH)"
IMC,TEST DATA 4,Nalut,"Improve access to complementary, responsive and qualitative primary health care by providing a comprehensive and tailor-made capacity building program for selected primary health care centers (PHCs) in cooperation with the Libyan Ministry of Health (MoH)"
IMC,TEST DATA 4,Al Jabal Al Gharbi,"Improve access to complementary, responsive and qualitative primary health care by providing a comprehensive and tailor-made capacity building program for selected primary health care centers (PHCs) in cooperation with the Libyan Ministry of Health (MoH)"
IMC,TEST DATA 4,Sebha,"Improve access to complementary, responsive and qualitative primary health care by providing a comprehensive and tailor-made capacity building program for selected primary health care centers (PHCs) in cooperation with the Libyan Ministry of Health (MoH)"
IMC,TEST DATA 4,Sebha,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Sebha,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Misrata,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Benghazi,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Tripoli,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Tripoli,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Sebha,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Sebha,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Misrata,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Benghazi,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Tripoli,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Tripoli,Saving Lives Through Improving Healthcare Access and Promoting Resilience in Libya. provides primary health care services to conflict-affected populations in Libya 
IMC,TEST DATA 4,Tripoli,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Tripoli,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Sebha,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Sebha,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
IMC,TEST DATA 4,Tripoli,"Protecting and empowering women to elevate resilience in Libya through provision of RH services and GBV prevention and response activities by supporting two women empowerment CSOs
"
