Organisation,Sector,Mantiqa,ADM2_PCODE
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Education,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
NRC,Protection,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Protection,Benghazi,LY0103
PUI,Protection,Benghazi,LY0103
PUI,Protection,Benghazi,LY0103
PUI,Protection,Benghazi,LY0103
PUI,Protection,Benghazi,LY0103
PUI,Shelter/NFIs,Benghazi,LY0103
PUI,Shelter/NFIs,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
PUI,Health,Benghazi,LY0103
REACH,Protection,Benghazi,LY0103
REACH,Multisector,Benghazi,LY0103
REACH,Multisector,Benghazi,LY0103
REACH,MCPA (multipurpose cash assistance),Benghazi,LY0103
REACH,MCPA (multipurpose cash assistance),Benghazi,LY0103
ACTED,Other,Derna,LY0101
ACTED,Protection,Derna,LY0101
ACTED,Protection,Derna,LY0101
ACTED,Protection,Derna,LY0101
ACTED,Protection,Derna,LY0101
ACTED,Protection,Derna,LY0101
ACTED,Protection,Derna,LY0101
REACH,Multisector,Derna,LY0101
REACH,MCPA (multipurpose cash assistance),Derna,LY0101
REACH,MCPA (multipurpose cash assistance),Derna,LY0101
ACTED,Health,Ejdabia,LY0105
MMC,IM,Ejdabia,LY0105
REACH,Multisector,Ejdabia,LY0105
REACH,Multisector,Ejdabia,LY0105
REACH,MCPA (multipurpose cash assistance),Ejdabia,LY0105
REACH,MCPA (multipurpose cash assistance),Ejdabia,LY0105
Helpcode,Health,Ghat,LY0321
IRC,Health,Ghat,LY0321
REACH,Protection,Ghat,LY0321
REACH,Multisector,Ghat,LY0321
REACH,MCPA (multipurpose cash assistance),Ghat,LY0321
REACH,MCPA (multipurpose cash assistance),Ghat,LY0321
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Shelter/NFIs,Misrata,LY0214
CESVI,Shelter/NFIs,Misrata,LY0214
CESVI,Shelter/NFIs,Misrata,LY0214
CESVI,Other,Misrata,LY0214
CESVI,Other,Misrata,LY0214
CESVI,Other,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Education,Misrata,LY0214
CESVI,Education,Misrata,LY0214
CESVI,Education,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
CESVI,Protection,Misrata,LY0214
DDG,Protection,Misrata,LY0214
DRC,MCPA (multipurpose cash assistance),Misrata,LY0214
GC,Protection,Misrata,LY0214
HI,Health,Misrata,LY0214
HI,Health,Misrata,LY0214
HI,Health,Misrata,LY0214
HI,Health,Misrata,LY0214
HI,Health,Misrata,LY0214
HI,Multisector,Misrata,LY0214
IMC,Health,Misrata,LY0214
IMC,Protection,Misrata,LY0214
IMC,Health,Misrata,LY0214
IMC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Health,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
IRC,Protection,Misrata,LY0214
REACH,Protection,Misrata,LY0214
REACH,Multisector,Misrata,LY0214
REACH,Multisector,Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
REACH,MCPA (multipurpose cash assistance),Misrata,LY0214
TDH,Health,Misrata,LY0214
TDH,Health,Misrata,LY0214
TDH,Education,Misrata,LY0214
TDH,Protection,Misrata,LY0214
REACH,Protection,Murzuq,LY0322
REACH,Multisector,Murzuq,LY0322
REACH,Multisector,Murzuq,LY0322
REACH,MCPA (multipurpose cash assistance),Murzuq,LY0322
REACH,MCPA (multipurpose cash assistance),Murzuq,LY0322
REACH,MCPA (multipurpose cash assistance),Murzuq,LY0322
REACH,MCPA (multipurpose cash assistance),Murzuq,LY0322
IMC,Health,Nalut,LY0209
REACH,Multisector,Nalut,LY0209
REACH,MCPA (multipurpose cash assistance),Nalut,LY0209
REACH,MCPA (multipurpose cash assistance),Nalut,LY0209
REACH,MCPA (multipurpose cash assistance),Nalut,LY0209
REACH,MCPA (multipurpose cash assistance),Nalut,LY0209
ACTED,MCPA (multipurpose cash assistance),Sebha,LY0319
ACTED,Other,Sebha,LY0319
ACTED,Protection,Sebha,LY0319
ACTED,Protection,Sebha,LY0319
ACTED,Protection,Sebha,LY0319
ACTED,Other,Sebha,LY0319
ACTED,Other,Sebha,LY0319
ACTED,Other,Sebha,LY0319
ACTED,Other,Sebha,LY0319
ACTED,Protection,Sebha,LY0319
DDG,Protection,Sebha,LY0319
DDG,Protection,Sebha,LY0319
DDG,Protection,Sebha,LY0319
GVC,WASH,Sebha,LY0319
GVC,Health,Sebha,LY0319
GVC,Protection,Sebha,LY0319
IMC,Health,Sebha,LY0319
IMC,Health,Sebha,LY0319
IMC,Health,Sebha,LY0319
IMC,Protection,Sebha,LY0319
IMC,Protection,Sebha,LY0319
IMC,Health,Sebha,LY0319
IMC,Health,Sebha,LY0319
IMC,Protection,Sebha,LY0319
IMC,Protection,Sebha,LY0319
IMC,Health,Sebha,LY0319
Intersos,Multisector,Sebha,LY0319
Intersos,Multisector,Sebha,LY0319
MMC,IM,Sebha,LY0319
REACH,Multisector,Sebha,LY0319
REACH,Other,Sebha,LY0319
REACH,Protection,Sebha,LY0319
REACH,Multisector,Sebha,LY0319
REACH,Multisector,Sebha,LY0319
REACH,MCPA (multipurpose cash assistance),Sebha,LY0319
REACH,MCPA (multipurpose cash assistance),Sebha,LY0319
HALO Trust,Protection,Sirt,LY0208
HALO Trust,Protection,Sirt,LY0208
REACH,Multisector,Sirt,LY0208
REACH,MCPA (multipurpose cash assistance),Sirt,LY0208
REACH,MCPA (multipurpose cash assistance),Sirt,LY0208
ACTED,Health,Tobruk,LY0104
REACH,Multisector,Tobruk,LY0104
REACH,MCPA (multipurpose cash assistance),Tobruk,LY0104
REACH,MCPA (multipurpose cash assistance),Tobruk,LY0104
ACTED,Other,Tripoli,LY0211
CEFA,Shelter/NFIs,Tripoli,LY0211
CEFA,Health,Tripoli,LY0211
CEFA,Food Security,Tripoli,LY0211
CEFA,Protection,Tripoli,LY0211
CEFA,Health,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Education,Tripoli,LY0211
CESVI,Education,Tripoli,LY0211
CESVI,Education,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,MCPA (multipurpose cash assistance),Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Protection,Tripoli,LY0211
CESVI,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,Food Security,Tripoli,LY0211
DRC,Food Security,Tripoli,LY0211
DRC,Food Security,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Shelter/NFIs,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,WASH,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DRC,Protection,Tripoli,LY0211
DDG,Protection,Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
DRC,MCPA (multipurpose cash assistance),Tripoli,LY0211
FADV,Protection,Tripoli,LY0211
GC,Protection,Tripoli,LY0211
GVC,WASH,Tripoli,LY0211
HALO Trust,Protection,Tripoli,LY0211
HALO Trust,Protection,Tripoli,LY0211
HALO Trust,Protection,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Health,Tripoli,LY0211
HI,Protection,Tripoli,LY0211
HI,Multisector,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Protection,Tripoli,LY0211
IMC,Protection,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Protection,Tripoli,LY0211
IMC,Protection,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
IMC,Health,Tripoli,LY0211
Intersos,Multisector,Tripoli,LY0211
Intersos,Health,Tripoli,LY0211
Intersos,Food Security,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Health,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
IRC,Protection,Tripoli,LY0211
MMC,IM,Tripoli,LY0211
NRC,Protection,Tripoli,LY0211
REACH,Protection,Tripoli,LY0211
REACH,Multisector,Tripoli,LY0211
REACH,Multisector,Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,MCPA (multipurpose cash assistance),Tripoli,LY0211
REACH,Protection,Tripoli,LY0211
TDH,Health,Tripoli,LY0211
TDH,Health,Tripoli,LY0211
TDH,Education,Tripoli,LY0211
TDH,Protection,Tripoli,LY0211
TDH,Education,Tripoli,LY0211
TDH,Protection,Tripoli,LY0211
ACTED,Other,Ubari,LY0320
ACTED,Other,Ubari,LY0320
ACTED,Other,Ubari,LY0320
ACTED,Protection,Ubari,LY0320
IRC,Health,Ubari,LY0320
REACH,Protection,Ubari,LY0320
REACH,Other,Ubari,LY0320
REACH,Multisector,Ubari,LY0320
REACH,MCPA (multipurpose cash assistance),Ubari,LY0320
REACH,MCPA (multipurpose cash assistance),Ubari,LY0320
ACTED,Other,Wadi Ashshati,LY0318
REACH,Multisector,Wadi Ashshati,LY0318
REACH,MCPA (multipurpose cash assistance),Wadi Ashshati,LY0318
REACH,MCPA (multipurpose cash assistance),Wadi Ashshati,LY0318
CESVI,Protection,Zwara,LY0215
CESVI,Protection,Zwara,LY0215
CESVI,Education,Zwara,LY0215
CESVI,Education,Zwara,LY0215
CESVI,Education,Zwara,LY0215
CESVI,Protection,Zwara,LY0215
CESVI,Protection,Zwara,LY0215
DRC,MCPA (multipurpose cash assistance),Zwara,LY0215
DRC,MCPA (multipurpose cash assistance),Zwara,LY0215
FADV,Health,Zwara,LY0215
GVC,Health,Zwara,LY0215
IMC,Health,Zwara,LY0215
REACH,Multisector,Zwara,LY0215
REACH,MCPA (multipurpose cash assistance),Zwara,LY0215
REACH,MCPA (multipurpose cash assistance),Zwara,LY0215
REACH,MCPA (multipurpose cash assistance),Zwara,LY0215
REACH,MCPA (multipurpose cash assistance),Zwara,LY0215
NRC,Protection,,
NRC,Protection,,
